,0
52,"parts of Ukraine: blank stares, faces without smiles, endless sadness. ... What is the fault of those young mothers and their"
53,"children? We would have to possess a heart of stone in order to remain impassive and allow this havoc to continue, as rivers"
54,"of blood and tears continue to flow. War is a barbarity,” he said."
55,"It is “never too late,” to make peace, he urged. “It is never too late to retrace one's steps and find an agreement.”"
56,b
57,"7:59 a.m. ET, March 12, 2022"
58,"Zelensky claims Ukraine is inflicting ""biggest blow to the Russian army in decades"""
59,From CNN's Eleano
60,ickston in London
61,Ukrainian President Volodymyr Zelensky speaks during a video address on March 42. (Facebook)
62,Ukrainian President Volodymyr Zelensky has claimed that Ukrainian forces are inflicting the “biggest blow to Russia's army in
63,decades.”
64,"In a Facebook video address Saturday Zelensky said 31 Russian tactical battalion groups have lost capability, and more than"
65,360 Russian tanks have been lost.
66,"Zelensky added that groups of Russian troops were surrendering to Ukrainian forces, but that Russia is now recruiting fighters,"
67,"reservists, conscripts, and mercenaries to “outnumber” Ukrainian forces."
68,"They are using terror to break us, to break our faith"
69,"confident they will not succeed,” Zelensky added."
70,"Ukraine’s victory, | am"
71,"Addressing the city of Mariupol, Zelensky said that Ukrainian forces will guarantee a ceasefire along the evacuation corridor out"
72,"of the city to allow supplies into the city, and to facilitate civilian evacuations"
73,Zelensky's remarks come after a Russian airstrike on Mariupol's maternity and children's hospital on Wednesday left 17 people
74,"injured, including children, women and doctors, according to Mariupol city officials. Three people died, the city council said"
75,"Thursday, among them, a child."
76,"A pregnant woman, Mariana Vishegirskaya, whose rescue from the Mariupol maternity hospital this week was captured in a viral"
77,"AP photo, has since given birth to a baby girl, her family confirmed to CNN."
78,"CNN's Tim Lister, Laura Smith-Spark, Olga Voitovych, Rob Picheta and Gianluca Mezzofiore contributed reporting to this post."
79,oO
80,   
81,"rch 12, 2022"
82,Flying on Russian planes is about to get much more dangerous
83,From CNN's Chris Isidore
84,  
85,"As Russia's economy gets pummeled by increasingly severe western sanctions for its invasion of Ukraine, the country's crucial"
86,airlines have been essentially cut off from much of the world.
87,But that is the least of the industry's problems. Russia's domestic airline industry could soon become a mere shell of its former
88,self due to restrictions on its operations
89,Sanctions imposed by the United States and the European Union mean that the world's two major aircraft
90,"makers, Boeing (BA) and Airbus (EADSF), can no longer supply spare parts or maintenance support for Russian airlines. The"
91,same is true of jet engine makers.
92,"“within a year Russia will cease to have any kind of viable airline industry,” said Richard Aboulafia, managing director of"
93,AeroDynamic Advisory.
94,He said the country’s airline industry could soon find itself somewhere between the heavily sanctioned industries in Iran and
95,North Korea.
96,That poses a serious problem for Russia's overall economic activity.
97,"Russia is the world's largest nation by landmass, more than twice the size of the continental United States. It needs to have a"
98,"viable airline industry to keep its economy working, said Charles Lichfield, the deputy director of GeoEconomics Center at the"
99,"Atlantic Council, an international think tank."
100,“itis an important part of Russia's economy. They need that backbone. They need some basic domestic [airline] industry to
101,"remain in place,"" Lichfield added."
102,Read the full story:
103,RELATED
104,Flying on Russian planes is about to get much more dangerous
105,  
106,   
107,a
108,"7:24 March 12, 2022"
109,Call between Putin and French and German leaders is underway
110,From CNN's Melissa Bellin Paris
111,French President Emmanuel Macron and German Chancellor Olaf Scholz have started a calll with Russian President Vladimir
112,"Putin over the war in Ukraine, an Elysée source told CNN on Saturday."
113,The three men previously spoke on Thursday when Macron said that the conditions put forth by Russian President
114,"Vladimir Putin for a ceasefire in Ukraine were “not acceptable to anyone,” without specifying what Putin's conditions were."
115,Macron has spoken frequently to Putin in the last month but has had little success in deescalating the crisis.
116,a
117,CONTENT BY THE ASCENT
118,(0% intro APR until nearly 2024 is 100% insane
119,Aslam dunk if you need a balance transfer (21 months)
120,Breathe easy with 0% APR until nearly 2024
121,Ano brainer if you're looking for a one-card wallet
122,Leading cash back card touts no interest until 2023
123,elites
124,eT)
125,Opinion
126,Health
127,a eclcns
128,aon)
129,pas)
130,TW]
131,Sports
132,Videos
133,rate l[o}
134,Coupons
135,Weather
136,Wife es
137,Ce a]
138,Cee
139,i
140,Terms of Use Privacy Policy Do Not Sell My Personal Information Ad Choices AboutUs CNNStore Newsletters
141,pour ee ee Cu
142,
